store_id,transaction_id,timestamp,basket_value_inr
STORE_BLR_001,TXN_00001,2026-03-03T10:15:32Z,1240.00
STORE_BLR_001,TXN_00002,2026-03-03T10:18:45Z,680.00
STORE_BLR_001,TXN_00003,2026-03-03T10:22:11Z,2350.00
STORE_BLR_001,TXN_00004,2026-03-03T10:28:03Z,450.00
STORE_BLR_001,TXN_00005,2026-03-03T10:33:27Z,1890.00
STORE_BLR_001,TXN_00006,2026-03-03T10:38:12Z,760.00
STORE_BLR_001,TXN_00007,2026-03-03T10:41:55Z,3200.00
STORE_BLR_001,TXN_00008,2026-03-03T10:45:38Z,520.00
STORE_BLR_001,TXN_00009,2026-03-03T10:48:22Z,1100.00
STORE_BLR_001,TXN_00010,2026-03-03T10:52:17Z,890.00
STORE_BLR_001,TXN_00011,2026-03-03T10:55:44Z,2100.00
STORE_BLR_001,TXN_00012,2026-03-03T10:58:33Z,340.00
STORE_BLR_001,TXN_00013,2026-03-03T11:02:18Z,1560.00
STORE_BLR_001,TXN_00014,2026-03-03T11:06:45Z,2800.00
STORE_BLR_001,TXN_00015,2026-03-03T11:10:22Z,670.00
STORE_BLR_002,TXN_00401,2026-03-03T14:12:05Z,950.00
STORE_BLR_002,TXN_00402,2026-03-03T14:18:33Z,1450.00
STORE_BLR_002,TXN_00403,2026-03-03T14:25:17Z,380.00
STORE_BLR_002,TXN_00404,2026-03-03T14:30:42Z,2200.00
STORE_BLR_002,TXN_00405,2026-03-03T14:35:08Z,890.00
STORE_BLR_002,TXN_00406,2026-03-03T14:38:12Z,1240.00
STORE_BLR_002,TXN_00407,2026-03-03T14:41:55Z,680.00
STORE_BLR_002,TXN_00408,2026-03-03T14:45:30Z,1780.00
STORE_BLR_002,TXN_00409,2026-03-03T14:49:18Z,420.00
STORE_BLR_002,TXN_00410,2026-03-03T14:52:44Z,3100.00
STORE_BLR_002,TXN_00411,2026-03-03T14:56:21Z,560.00
STORE_BLR_002,TXN_00412,2026-03-03T15:01:09Z,1350.00
STORE_BLR_002,TXN_00413,2026-03-03T15:05:33Z,2450.00
STORE_BLR_002,TXN_00414,2026-03-03T15:09:15Z,730.00
STORE_BLR_002,TXN_00415,2026-03-03T15:13:48Z,1680.00
